epoch,step,train_loss,val_metric
0,5,,0.01272380631417036
0,5,0.947732150554657,
1,11,,0.01691458374261856
1,11,0.9244615435600281,
2,17,,0.021110940724611282
2,17,0.904189944267273,
3,23,,0.027550801634788513
3,23,0.8851413726806641,
4,29,,0.03587593510746956
4,29,0.8699731230735779,
5,35,,0.04304039105772972
5,35,0.8625053763389587,
6,41,,0.04835488274693489
6,41,0.8543264865875244,
7,47,,0.053509671241045
7,47,0.8407349586486816,
8,53,,0.05848502367734909
8,53,0.8310710191726685,
9,59,,0.06330715119838715
9,59,0.8214036226272583,
10,65,,0.06760168075561523
10,65,0.8113629817962646,
11,71,,0.07114239037036896
11,71,0.8125203847885132,
12,77,,0.07454906404018402
12,77,0.807781457901001,
13,83,,0.07815078645944595
13,83,0.794739842414856,
